host/minilua.c:4348:10: warning: The left operand of '==' is a garbage value [core.UndefinedBinaryOperatorResult]
host/minilua.c:4590:9: warning: The left operand of '==' is a garbage value [core.UndefinedBinaryOperatorResult]
lj_strscan.c:309:7: warning: Assigned value is garbage or undefined [core.uninitialized.Assign]
lj_opt_mem.c:46:9: warning: Dereference of null pointer [core.NullDereference]
lj_opt_narrow.c:374:8: warning: 2nd function call argument is an uninitialized value [core.CallAndMessage]
lj_opt_narrow.c:375:8: warning: 2nd function call argument is an uninitialized value [core.CallAndMessage]
./lj_obj.h:842:5: warning: Undefined or garbage value returned to caller [core.uninitialized.UndefReturn]
lj_record.c:808:7: warning: The left operand of '&' is a garbage value [core.UndefinedBinaryOperatorResult]
lj_record.c:878:11: warning: Assigned value is garbage or undefined [core.uninitialized.Assign]
lj_record.c:878:30: warning: Assigned value is garbage or undefined [core.uninitialized.Assign]
lj_record.c:1166:11: warning: The left operand of '&' is a garbage value [core.UndefinedBinaryOperatorResult]
lj_record.c:1783:7: warning: 1st function call argument is an uninitialized value [core.CallAndMessage]
./lj_asm_x86.h:395:11: warning: Branch condition evaluates to a garbage value [core.uninitialized.Branch]
./lj_asm_x86.h:455:5: warning: Assigned value is garbage or undefined [core.uninitialized.Assign]
lj_carith.c:158:7: warning: Access to field 'info' results in a dereference of a null pointer [core.NullDereference]
lj_lib.c:80:12: warning: Dereference of null pointer [core.NullDereference]
lib_string.c:324:43: warning: Dereference of null pointer (loaded from variable 's') [core.NullDereference]
lib_string.c:687:7: warning: Dereference of null pointer [core.NullDereference]
luajit.c:284:34: warning: Null pointer passed to 1st parameter expecting 'nonnull' [core.NonNullParamChecker]
,no value,lj_snap.c:566:8: warning: Value stored to 'tmp' is never read [deadcode.DeadStores]
lj_crecord.c:247:2: warning: Value stored to 'step' is never read [deadcode.DeadStores]
./lj_asm_x86.h:1293:11: warning: Although the value stored to 'osrc' is used in the enclosing expression, the value is never actually read from 'osrc' [deadcode.DeadStores]
lj_cconv.c:212:5: warning: Value stored to 'sinfo' is never read [deadcode.DeadStores]
lj_cconv.c:276:5: warning: Value stored to 'sinfo' is never read [deadcode.DeadStores]
lj_cconv.c:283:5: warning: Value stored to 'dinfo' is never read [deadcode.DeadStores]
lj_cconv.c:289:5: warning: Value stored to 'dinfo' is never read [deadcode.DeadStores]
lj_cconv.c:328:5: warning: Value stored to 'dinfo' is never read [deadcode.DeadStores]
lj_cconv.c:503:25: warning: Although the value stored to 'i' is used in the enclosing expression, the value is never actually read from 'i' [deadcode.DeadStores]
src/http_parser.c:2070:3: warning: Value stored to 'uf' is never read [deadcode.DeadStores]
,no value,no value,host/buildvm_fold.c:22:3: warning: Call to function 'memset' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memset_s' in case of C11 [security.insecureAPI.DeprecatedOrUnsafeBufferHandling]
lj_str.c:76:3: warning: Call to function 'memset' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memset_s' in case of C11 [security.insecureAPI.DeprecatedOrUnsafeBufferHandling]
lj_str.c:152:3: warning: Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11 [security.insecureAPI.DeprecatedOrUnsafeBufferHandling]
lj_str.c:180:20: warning: Call to function 'sprintf' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'sprintf_s' in case of C11 [security.insecureAPI.DeprecatedOrUnsafeBufferHandling]
lj_tab.c:179:7: warning: Call to function 'memcpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memcpy_s' in case of C11 [security.insecureAPI.DeprecatedOrUnsafeBufferHandling]
lj_debug.c:328:5: warning: Call to function 'strncpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'strncpy_s' in case of C11 [security.insecureAPI.DeprecatedOrUnsafeBufferHandling]
lj_debug.c:337:5: warning: Call to function 'strcpy' is insecure as it does not provide bounding of the memory buffer. Replace unbounded copy functions with analogous functions that support length arguments such as 'strlcpy'. CWE-119 [security.insecureAPI.strcpy]
lj_debug.c:342:5: warning: Call to function 'strcpy' is insecure as it does not provide bounding of the memory buffer. Replace unbounded copy functions with analogous functions that support length arguments such as 'strlcpy'. CWE-119 [security.insecureAPI.strcpy]
lj_debug.c:345:7: warning: Call to function 'strncpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'strncpy_s' in case of C11 [security.insecureAPI.DeprecatedOrUnsafeBufferHandling]
lj_debug.c:346:7: warning: Call to function 'strcpy' is insecure as it does not provide bounding of the memory buffer. Replace unbounded copy functions with analogous functions that support length arguments such as 'strlcpy'. CWE-119 [security.insecureAPI.strcpy]
lj_debug.c:348:7: warning: Call to function 'strcpy' is insecure as it does not provide bounding of the memory buffer. Replace unbounded copy functions with analogous functions that support length arguments such as 'strlcpy'. CWE-119 [security.insecureAPI.strcpy]
lj_debug.c:350:5: warning: Call to function 'strcpy' is insecure as it does not provide bounding of the memory buffer. Replace unbounded copy functions with analogous functions that support length arguments such as 'strlcpy'. CWE-119 [security.insecureAPI.strcpy]
lj_state.c:188:3: warning: Call to function 'memset' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'memset_s' in case of C11 [security.insecureAPI.DeprecatedOrUnsafeBufferHandling]
